"","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude"
"1",1,"Apistogramma commbrae","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636286,"","Apistogramma_commbrae",NA,27.5
"2",2,"Monopterus cuchia","Synbranchiformes","Synbranchidae","Monopterus",0,"absent","",1067002,"","Monopterus_cuchia",NA,24.5
"3",3,"Apistogramma borellii","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636296,"","Apistogramma_borellii",NA,24
"4",4,"Apistogramma trifasciata","Cichliformes","Cichlidae","Apistogramma",0,"absent","",3636304,"","Apistogramma_trifasciata",NA,19.5
"5",5,"Biotoecus opercularis","Cichliformes","Cichlidae","Biotoecus",0,"absent","",3636363,"","Biotoecus_opercularis",NA,10
"6",6,"Danio rerio","Cypriniformes","Cyprinidae","Danio",0,"absent","y",1005914,"","Danio_rerio",NA,26
"7",7,"Carassius auratus","Cypriniformes","Cyprinidae","Carassius",1,"present","y",1005907,"","Carassius_auratus",NA,36
"8",8,"Carassius carassius","Cypriniformes","Cyprinidae","Carassius",0,"absent","",1010092,"","Carassius_carassius",NA,53
"9",9,"Channa gachua","Anabantiformes","Channidae","Channa",0,"absent","",589530,"","Channa_gachua",NA,20
"10",10,"Channa punctata","Anabantiformes","Channidae","Channa",0,"absent","",1008460,"","Channa_punctata",NA,20
"11",11,"Channa striata","Anabantiformes","Channidae","Channa",0,"absent","y",1048597,"","Channa_striata",NA,15
"12",12,"Clarias batrachus","Siluriformes","Clariidae","Clarias",0.5,"present","y",107857,"","Clarias_batrachus",NA,13.5
"13",13,"Gymnarchus niloticus","Osteoglossiformes","Gymnarchidae","Gymnarchus",0,"absent","y",115490,"","Gymnarchus_niloticus",NA,10.5
"14",14,"Heteropneustes fossilis","Siluriformes","Heteropneustidae","Heteropneustes",0,"absent","",700872,"","Heteropneustes_fossilis",NA,20
"15",15,"Ariopsis seemanni","Siluriformes","Ariidae","Ariopsis",1.5,"present","y",704267,"","Ariopsis_seemanni",NA,20.5
"16",16,"Pimelodus pictus","Siluriformes","Pimelodidae","Pimelodus",3,"present","",488963,"","Pimelodus_pictus",NA,13
"17",17,"Oreochromis mossambicus","Cichliformes","Cichlidae","Oreochromis",0,"absent","y",288069,"sibling_higher","Oreochromis_mossambicus",NA,18.5
"18",18,"Amia calva","Amiiformes","Amiidae","Amia",3,"present","y",329623,"","Amia_calva",NA,39
"19",19,"Astyanax jordani","Characiformes","Characidae","Astyanax",1,"present","",1044706,"","Astyanax_jordani",NA,48
"20",20,"Astyanax mexicanus","Characiformes","Characidae","Astyanax",3.5,"present","y",701518,"","Astyanax_mexicanus",NA,22
"21",21,"Bovichtus diacanthus","Perciformes","Bovichtidae","Bovichtus",1,"present","y",842177,"","Bovichtus_diacanthus",NA,NA
"22",22,"Clarias gariepinus","Siluriformes","Clariidae","Clarias",NA,"present","y",240811,"","Clarias_gariepinus",NA,10
"23",23,"Clupea harengus","Clupeiformes","Clupeidae","Clupea",NA,"present","y",1005932,"","Clupea_harengus",NA,60
"24",24,"Ctenopharyngodon idella","Cypriniformes","Cyprinidae","Ctenopharyngodon",1,"present","y",1005936,"","Ctenopharyngodon_idella",NA,35
"25",25,"Diplomystes mesembrinus","Siluriformes","Diplomystidae","Diplomystes",1,"present","",536094,"","Diplomystes_mesembrinus",NA,NA
"26",26,"Erpetoichthys calabaricus","Polypteriformes","Polypteridae","Erpetoichthys",NA,"present","y",451269,"","Erpetoichthys_calabaricus",NA,6
"27",27,"Rhinogobius flumineus","Gobiiformes","Gobiidae","Rhinogobius",1,"present","",518755,"","Rhinogobius_flumineus",NA,35.5
"28",28,"Diplodus sargus","Spariformes","Sparidae","Diplodus",3.25,"present","y",239665,"","Diplodus_sargus",NA,41
"29",29,"Gambusia affinis","Cyprinodontiformes","Poeciliidae","Gambusia",0,"absent","y",617445,"","Gambusia_affinis",NA,28.5
"30",30,"Coryphaena hippurus","Carangiformes","Coryphaenidae","Coryphaena",3,"present","",223663,"","Coryphaena_hippurus",NA,22
"31",31,"Katsuwonus pelamis","Scombriformes","Scombridae","Katsuwonus",1,"present","y",308754,"","Katsuwonus_pelamis",NA,22
"32",32,"Xiphias gladius","Istiophoriformes","Xiphiidae","Xiphias",0,"absent","y",358621,"","Xiphias_gladius",NA,24.5
"33",33,"Lepomis macrochirus","Centrarchiformes","Centrarchidae","Lepomis",2,"present","y",836783,"","Lepomis_macrochirus",NA,35
"34",34,"Neolamprologus brichardi","Cichliformes","Cichlidae","Neolamprologus",0,"absent","y",279935,"","Neolamprologus_brichardi",NA,18
"35",35,"Nothobranchius furzeri","Cyprinodontiformes","Nothobranchiidae","Nothobranchius",0,"absent","y",513643,"","Nothobranchius_furzeri",NA,30.5
"36",36,"Odontesthes bonariensis","Atheriniformes","Atherinopsidae","Odontesthes",0,"absent","y",960735,"","Odontesthes_bonariensis",NA,33.5
"37",37,"Rastrelliger brachysoma","Scombriformes","Scombridae","Rastrelliger",3,"present","y",916275,"","Rastrelliger_brachysoma",NA,13
"38",38,"Phoxinus phoxinus","Cypriniformes","Cyprinidae","Phoxinus",0,"absent","y",1019917,"","Phoxinus_phoxinus",NA,52
"39",39,"Poecilia reticulata","Cyprinodontiformes","Poeciliidae","Poecilia",0,"absent","y",312452,"","Poecilia_reticulata",NA,14.5
"40",40,"Taeniacara candidi","Cichliformes","Cichlidae","Taeniacara",0,"absent","",128244,"","Taeniacara_candidi",NA,10
"41",41,"Chaetodon miliaris","Chaetodontiformes","Chaetodontidae","Chaetodon",1,"present","",766706,"","Chaetodon_miliaris",NA,26
"42",42,"Chaetodon multicinctus","Chaetodontiformes","Chaetodontidae","Chaetodon",1,"present","",766709,"","Chaetodon_multicinctus",NA,48
"43",43,"Cyprinus carpio","Cypriniformes","Cyprinidae","Cyprinus",1,"present","y",429083,"","Cyprinus_carpio",NA,37.5
"44",44,"Echeneis naucrates","Carangiformes","Echeneidae","Echeneis",1,"present","y",776562,"","Echeneis_naucrates",NA,19
"45",45,"Acarichthys heckelii","Cichliformes","Cichlidae","Acarichthys",NA,"present","",16170,"","Acarichthys_heckelii",NA,9.5
"46",46,"Acipenser baerii","Acipenseriformes","Acipenseridae","Acipenser",3.25,"present","",518827,"","Acipenser_baerii",NA,56
"47",47,"Acipenser transmontanus","Acipenseriformes","Acipenseridae","Acipenser",1,"present","y",378925,"","Acipenser_transmontanus",NA,48.5
"48",48,"Apareiodon affinis","Characiformes","Parodontidae","Apareiodon",NA,"present","",533482,"","Apareiodon_affinis",NA,27.5
"49",49,"Conger myriaster","Anguilliformes","Congridae","Conger",3,"present","",479867,"","Conger_myriaster",NA,34
"50",50,"Cottoperca gobio","Perciformes","Bovichtidae","Cottoperca",NA,"present","y",867530,"","Cottoperca_gobio",NA,60
"51",51,"Dasyatis akajei","Myliobatiformes","Dasyatidae","Dasyatis",1,"present","",225332,"sibling_higher","Dasyatis_akajei",NA,NA
"52",52,"Epinephelus adscensionis","Perciformes","Serranidae","Epinephelus",NA,"present","",534151,"","Epinephelus_adscensionis",NA,21
"53",53,"Sander lucioperca","Perciformes","Percidae","Sander",3,"present","y",557682,"","Sander_lucioperca",NA,49
"54",54,"Scophthalmus maximus","Pleuronectiformes","Scophthalmidae","Scophthalmus",2.25,"present","y",778695,"","Scophthalmus_maximus",NA,52
"55",55,"Pseudopleuronectes americanus","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes",1,"present","y",261419,"","Pseudopleuronectes_americanus",NA,42
"56",56,"Salminus brasiliensis","Characiformes","Bryconidae","Salminus",NA,"present","y",419009,"","Salminus_brasiliensis",NA,27
"57",57,"Oncorhynchus mykiss irideus","Salmoniformes","Salmonidae","Oncorhynchus",3,"present","",578312,"infraspecific","Oncorhynchus_mykiss irideus",NA,NA
"58",58,"Serrasalmus maculatus","Characiformes","Serrasalmidae","Serrasalmus",3,"present","",900276,"","Serrasalmus_maculatus",NA,23.5
"59",59,"Silurus asotus","Siluriformes","Siluridae","Silurus",1,"present","y",967323,"","Silurus_asotus",NA,44.5
"60",60,"Sphoeroides rubripes","Tetraodontiformes","Tetraodontidae","Sphoeroides",NA,"present","",3631199,"","Sphoeroides_rubripes",NA,NA
"61",61,"Enoplosus armatus","Centrarchiformes","Enoplosidae","Enoplosus",NA,"present","y",54499,"","Enoplosus_armatus",NA,34.5
"62",62,"Mystus bleekeri","Siluriformes","Bagridae","Mystus",NA,"present","",484171,"","Mystus_bleekeri",NA,23
"63",63,"Mystus cavasius","Siluriformes","Bagridae","Mystus",NA,"present","",394571,"","Mystus_cavasius",NA,17.5
"64",64,"Mystus gulio","Siluriformes","Bagridae","Mystus",3.5,"present","",728947,"","Mystus_gulio",NA,20
"65",65,"Sperata seenghala","Siluriformes","Bagridae","Sperata",NA,"present","",250296,"","Sperata_seenghala",NA,20
"66",66,"Mystus tengara","Siluriformes","Bagridae","Mystus",NA,"present","",863892,"","Mystus_tengara",NA,20.5
"67",67,"Gogangra viridescens","Siluriformes","Sisoridae","Gogangra",NA,"present","",641167,"","Gogangra_viridescens",NA,27.5
"68",68,"Ompok bimaculatus","Siluriformes","Siluridae","Ompok",1,"present","y",670820,"","Ompok_bimaculatus",NA,19.5
"69",69,"Polyodon spathula","Acipenseriformes","Polyodontidae","Polyodon",0.5,"present","y",904101,"","Polyodon_spathula",NA,41.5
"70",70,"Silonia silondia","Siluriformes","Schilbeidae","Silonia",NA,"present","",350492,"","Silonia_silondia",NA,22.5
"71",71,"Aequidens plagiozonatus","Cichliformes","Cichlidae","Aequidens",NA,"present","",3636223,"","Aequidens_plagiozonatus",NA,19.5
"72",72,"Anguilla anguilla","Anguilliformes","Anguillidae","Anguilla",3,"present","y",854201,"","Anguilla_anguilla",NA,49.5
"73",73,"Chelon labrosus","Mugiliformes","Mugilidae","Chelon",2,"present","y",777079,"","Chelon_labrosus",NA,48.5
"74",74,"Scyliorhinus canicula","Carcharhiniformes","Scyliorhinidae","Scyliorhinus",3.5,"present","",1026500,"","Scyliorhinus_canicula",NA,46
"75",75,"Piaractus brachypomus","Characiformes","Serrasalmidae","Piaractus",3,"present","",24657,"","Piaractus_brachypomus",NA,13
"76",76,"Roeboexodon guyanensis","Characiformes","Characidae","Roeboexodon",NA,"present","",575376,"","Roeboexodon_guyanensis",NA,37.5
"77",77,"Anableps anableps","Cyprinodontiformes","Anablepidae","Anableps",0,"absent","y",349121,"","Anableps_anableps",NA,37.5
"78",78,"Aphyocharax dentatus","Characiformes","Characidae","Aphyocharax",0,"absent","",13154,"","Aphyocharax_dentatus",NA,23
"79",79,"Arapaima gigas","Osteoglossiformes","Osteoglossidae","Arapaima",0,"absent","y",335725,"","Arapaima_gigas",NA,13.5
"80",80,"Belonesox belizanus","Cyprinodontiformes","Poeciliidae","Belonesox",0,"absent","",913297,"","Belonesox_belizanus",NA,39.5
"81",81,"Betta splendens","Anabantiformes","Osphronemidae","Betta",0,"absent","y",1033356,"","Betta_splendens",NA,25.5
"82",82,"Channa micropeltes","Anabantiformes","Channidae","Channa",0,"absent","",332862,"","Channa_micropeltes",NA,13
"83",83,"Charax leticiae","Characiformes","Characidae","Charax",0,"absent","",1091396,"","Charax_leticiae",NA,23.5
"84",84,"Cobitis biwae","Cypriniformes","Cobitidae","Cobitis",0,"absent","",638827,"","Cobitis_biwae",NA,35.5
"85",85,"Cololabis saira","Beloniformes","Belonidae","Cololabis",0,"absent","y",427511,"","Cololabis_saira",NA,47.5
"86",86,"Corydoras paleatus","Siluriformes","Callichthyidae","Corydoras",0,"absent","",267119,"","Corydoras_paleatus",NA,30.5
"87",87,"Crenicara punctulatum","Cichliformes","Cichlidae","Crenicara",0,"absent","",461830,"","Crenicara_punctulatum",NA,NA
"88",88,"Cheilopogon heterurus","Beloniformes","Exocoetidae","Cheilopogon",0,"absent","",850211,"","Cheilopogon_heterurus",NA,37
"89",89,"Dermogenys pusilla","Beloniformes","Zenarchopteridae","Dermogenys",0,"absent","",139152,"","Dermogenys_pusilla",NA,16.5
"90",90,"Dicentrarchus labrax","Perciformes","Moronidae","Dicentrarchus",3,"present","y",3549,"","Dicentrarchus_labrax",NA,46.5
"91",91,"Dicrossus warzeli","Cichliformes","Cichlidae","Dicrossus",0,"absent","",3636430,"","Dicrossus_warzeli",NA,17.5
"92",92,"Electrophorus electricus","Gymnotiformes","Gymnotidae","Electrophorus",0,"absent","y",216168,"","Electrophorus_electricus",NA,13
"93",93,"Esox lucius","Esociformes","Esocidae","Esox",0,"absent","y",739941,"","Esox_lucius",NA,50
"94",94,"Exodon paradoxus","Characiformes","Characidae","Exodon",0,"absent","",335632,"","Exodon_paradoxus",NA,15.5
"95",95,"Glossolepis incisus","Atheriniformes","Melanotaeniidae","Glossolepis",0,"absent","",976546,"","Glossolepis_incisus",NA,NA
"96",96,"Gymnogeophagus balzanii","Cichliformes","Cichlidae","Gymnogeophagus",0,"absent","",416755,"","Gymnogeophagus_balzanii",NA,27.5
"97",97,"Gymnogeophagus meridionalis","Cichliformes","Cichlidae","Gymnogeophagus",0,"absent","",450053,"","Gymnogeophagus_meridionalis",NA,30.5
"98",98,"Nimbochromis venustus","Cichliformes","Cichlidae","Nimbochromis",0,"absent","",888881,"","Nimbochromis_venustus",NA,21
"99",99,"Helostoma temminkii","Anabantiformes","Helostomatidae","Helostoma",0,"absent","y",754856,"","Helostoma_temminkii",NA,NA
"100",100,"Hemichromis bimaculatus","Cichliformes","Cichlidae","Hemichromis",0,"absent","",312269,"","Hemichromis_bimaculatus",NA,NA
"101",101,"Hemichromis guttatus","Cichliformes","Cichlidae","Hemichromis",0,"absent","",839353,"","Hemichromis_guttatus",NA,NA
"102",102,"Hepsetus odoe","Characiformes","Hepsetidae","Hepsetus",3,"present","y",128234,"","Hepsetus_odoe",NA,7
"103",103,"Heterocharax leptogrammus","Characiformes","Characidae","Heterocharax",0,"absent","",3624837,"","Heterocharax_leptogrammus",NA,7
"104",104,"Heterotis niloticus","Osteoglossiformes","Osteoglossidae","Heterotis",0,"absent","y",916703,"","Heterotis_niloticus",NA,8
"105",105,"Hypoatherina valenciennei","Atheriniformes","Atherinidae","Hypoatherina",0,"absent","",828581,"","Hypoatherina_valenciennei",NA,23.5
"106",106,"Hyporhamphus sajori","Beloniformes","Hemiramphidae","Hyporhamphus",0,"absent","",496667,"","Hyporhamphus_sajori",NA,37
"107",107,"Iguanodectes spilurus","Characiformes","Iguanodectidae","Iguanodectes",0,"absent","",3625587,"","Iguanodectes_spilurus",NA,12.5
"108",108,"Jordanella floridae","Cyprinodontiformes","Cyprinodontidae","Jordanella",0,"absent","",82326,"","Jordanella_floridae",NA,48
"109",109,"Luciocephalus pulcher","Anabantiformes","Osphronemidae","Luciocephalus",0,"absent","",377745,"","Luciocephalus_pulcher",NA,20.5
"110",110,"Metynnis hypsauchen","Characiformes","Serrasalmidae","Metynnis",1.5,"present","",506575,"","Metynnis_hypsauchen",NA,17.5
"111",111,"Metynnis lippincottianus","Characiformes","Serrasalmidae","Metynnis",0,"absent","",1095505,"","Metynnis_lippincottianus",NA,17.5
"112",112,"Mikrogeophagus ramirezi","Cichliformes","Cichlidae","Mikrogeophagus",3,"present","",316392,"","Mikrogeophagus_ramirezi",NA,14.5
"113",113,"Misgurnus anguillicaudatus","Cypriniformes","Cobitidae","Misgurnus",0,"absent","y",312382,"","Misgurnus_anguillicaudatus",NA,34.5
"114",114,"Monopterus albus","Synbranchiformes","Synbranchidae","Monopterus",0,"absent","y",655999,"","Monopterus_albus",NA,18
"115",115,"Phoxinus oxycephalus jouyi","Cypriniformes","Cyprinidae","Phoxinus",0,"absent","",343644,"infraspecific","Phoxinus_oxycephalus jouyi",NA,NA
"116",116,"Myleus setiger","Characiformes","Serrasalmidae","Myleus",0,"absent","",985120,"","Myleus_setiger",NA,13
"117",117,"Nothobranchius palmqvisti","Cyprinodontiformes","Nothobranchiidae","Nothobranchius",0,"absent","",3641410,"","Nothobranchius_palmqvisti",NA,30.5
"118",118,"Nannostomus beckfordi","Characiformes","Lebiasinidae","Nannostomus",0,"absent","",486012,"","Nannostomus_beckfordi",NA,10
"119",119,"Oreochromis niloticus","Cichliformes","Cichlidae","Oreochromis",NA,"present","y",288063,"sibling_higher","Oreochromis_niloticus",NA,8
"120",120,"Oryzias latipes","Beloniformes","Adrianichthyidae","Oryzias",0,"absent","y",942673,"","Oryzias_latipes",NA,30
"121",121,"Osteoglossum bicirrhosum","Osteoglossiformes","Osteoglossidae","Osteoglossum",0,"absent","y",279997,"","Osteoglossum_bicirrhosum",NA,7.5
"122",122,"Pantodon buchholzi","Osteoglossiformes","Pantodontidae","Pantodon",0,"absent","",108350,"","Pantodon_buchholzi",NA,5
"123",123,"Piaractus mesopotamicus","Characiformes","Serrasalmidae","Piaractus",0,"absent","y",24652,"","Piaractus_mesopotamicus",NA,27.5
"124",124,"Prochilodus lineatus","Characiformes","Prochilodontidae","Prochilodus",0,"absent","",1027734,"","Prochilodus_lineatus",NA,26.5
"125",125,"Rhodeus ocellatus","Cypriniformes","Acheilognathidae","Rhodeus",0,"absent","",887027,"","Rhodeus_ocellatus",NA,35
"126",126,"Roeboides descalvadensis","Characiformes","Characidae","Roeboides",0,"absent","",1077236,"","Roeboides_descalvadensis",NA,24
"127",127,"Roeboides myersii","Characiformes","Characidae","Roeboides",0,"absent","",282557,"","Roeboides_myersii",NA,13
"128",128,"Roeboides prognathus","Characiformes","Characidae","Roeboides",0,"absent","",3624826,"","Roeboides_prognathus",NA,27
"129",129,"Scleropages jardinii","Osteoglossiformes","Osteoglossidae","Scleropages",0,"absent","",335719,"","Scleropages_jardinii",NA,26
"130",130,"Serrapinnus notomelas","Characiformes","Characidae","Serrapinnus",0,"absent","",199867,"","Serrapinnus_notomelas",NA,24
"131",131,"Serrasalmus rhombeus","Characiformes","Serrasalmidae","Serrasalmus",0,"absent","",382210,"","Serrasalmus_rhombeus",NA,7
"132",132,"Sternopygus macrurus","Gymnotiformes","Sternopygidae","Sternopygus",0,"absent","",729097,"","Sternopygus_macrurus",NA,14.5
"133",133,"Strongylura anastomella","Beloniformes","Belonidae","Strongylura",0,"absent","",703667,"","Strongylura_anastomella",NA,34
"134",134,"Teleocichla proselytus","Cichliformes","Cichlidae","Teleocichla",0,"absent","",493822,"","Teleocichla_proselytus",NA,17.5
"135",135,"Marosatherina ladigesi","Atheriniformes","Telmatherinidae","Marosatherina",0,"absent","",296889,"","Marosatherina_ladigesi",NA,26
"136",136,"Pseudaspius hakonensis","Cypriniformes","Cyprinidae","Pseudaspius",0,"absent","",372585,"","Pseudaspius_hakonensis",NA,41.5
"137",137,"Triportheus nematurus","Characiformes","Triportheidae","Triportheus",0,"absent","",48234,"","Triportheus_nematurus",NA,24
"138",138,"Xenentodon cancila","Beloniformes","Belonidae","Xenentodon",0,"absent","y",549052,"","Xenentodon_cancila",NA,19.5
"139",139,"Epinephelus malabaricus","Perciformes","Serranidae","Epinephelus",0,"absent","y",463848,"","Epinephelus_malabaricus",NA,14
"140",140,"Halichoeres trimaculatus","Labriformes","Labridae","Halichoeres",0,"absent","y",942026,"","Halichoeres_trimaculatus",NA,14.5
"141",141,"Microschemobrycon callops","Characiformes","Characidae","Microschemobrycon",0.5,"present","",3625570,"","Microschemobrycon_callops",NA,7
"142",142,"Acipenser gueldenstaedtii","Acipenseriformes","Acipenseridae","Acipenser",2,"present","y",378912,"","Acipenser_gueldenstaedtii",NA,47
"143",143,"Amphilophus citrinellus","Cichliformes","Cichlidae","Amphilophus",1,"present","y",358037,"sibling_higher","Amphilophus_citrinellus",NA,37.5
"144",144,"Anguilla rostrata","Anguilliformes","Anguillidae","Anguilla",1,"present","y",854212,"","Anguilla_rostrata",NA,38
"145",145,"Anthias anthias","Perciformes","Serranidae","Anthias",2.5,"present","y",1012253,"","Anthias_anthias",NA,35.5
"146",146,"Apteronotus albifrons","Gymnotiformes","Apteronotidae","Apteronotus",1,"present","",789557,"","Apteronotus_albifrons",NA,19.5
"147",147,"Badis badis","Anabantiformes","Badidae","Badis",1,"present","",989135,"","Badis_badis",NA,27.5
"148",148,"Lipolagus ochotensis","Argentiniformes","Bathylagidae","Lipolagus",1,"present","",562640,"","Lipolagus_ochotensis",NA,45
"149",149,"Biotodoma cupido","Cichliformes","Cichlidae","Biotodoma",1,"present","",667005,"","Biotodoma_cupido",NA,13.5
"150",150,"Chromobotia macracanthus","Cypriniformes","Botiidae","Chromobotia",1,"present","y",225526,"","Chromobotia_macracanthus",NA,20.5
"151",151,"Bovichtus variegatus","Perciformes","Bovichtidae","Bovichtus",1,"present","y",448844,"","Bovichtus_variegatus",NA,39.5
"152",152,"Paralichthys olivaceus","Pleuronectiformes","Paralichthyidae","Paralichthys",2,"present","y",883392,"","Paralichthys_olivaceus",NA,34
"153",153,"Carnegiella marthae","Characiformes","Gasteropelecidae","Carnegiella",1,"present","",94214,"","Carnegiella_marthae",NA,7
"154",154,"Ceratoscopelus warmingii","Myctophiformes","Myctophidae","Ceratoscopelus",1,"present","",866187,"","Ceratoscopelus_warmingii",NA,33
"155",155,"Chalceus guaporensis","Characiformes","Chalceidae","Chalceus",1,"present","",3624886,"","Chalceus_guaporensis",NA,15
"156",156,"Champsocephalus gunnari","Perciformes","Channichthyidae","Champsocephalus",1,"present","y",684007,"","Champsocephalus_gunnari",NA,63.5
"157",157,"Gymnogobius urotaenia","Gobiiformes","Gobiidae","Gymnogobius",1,"present","",279775,"","Gymnogobius_urotaenia",NA,41
"158",158,"Colossoma macropomum","Characiformes","Serrasalmidae","Colossoma",1,"present","y",24678,"","Colossoma_macropomum",NA,11
"159",159,"Coptodon rendalli","Cichliformes","Cichlidae","Coptodon",1,"present","y",288060,"","Coptodon_rendalli",NA,10
"160",160,"Coreoperca kawamebari","Centrarchiformes","Sinipercidae","Coreoperca",1,"present","",105922,"","Coreoperca_kawamebari",NA,45
"161",161,"Cyclothone atraria","Stomiiformes","Gonostomatidae","Cyclothone",1,"present","",127379,"","Cyclothone_atraria",NA,52
"162",162,"Cynotilapia afra","Cichliformes","Cichlidae","Cynotilapia",1,"present","",132192,"","Cynotilapia_afra",NA,21
"163",163,"Cyprinion macrostomum","Cypriniformes","Cyprinidae","Cyprinion",1,"present","",493927,"","Cyprinion_macrostomum",NA,NA
"164",164,"Diplophos taenia","Stomiiformes","Diplophidae","Diplophos",1,"present","",350314,"","Diplophos_taenia",NA,34.5
"165",165,"Eigenmannia virescens","Gymnotiformes","Sternopygidae","Eigenmannia",1,"present","",437387,"","Eigenmannia_virescens",NA,17.5
"166",166,"Eleginops maclovinus","Perciformes","Eleginopidae","Eleginops",3,"present","y",816883,"","Eleginops_maclovinus",NA,55
"167",167,"Engraulis japonicus","Clupeiformes","Engraulidae","Engraulis",1,"present","y",690902,"","Engraulis_japonicus",NA,34
"168",168,"Etroplus maculatus","Cichliformes","Cichlidae","Etroplus",1,"present","",493427,"","Etroplus_maculatus",NA,NA
"169",169,"Etrumeus teres","Clupeiformes","Dussumieriidae","Etrumeus",1,"present","",681340,"","Etrumeus_teres",NA,NA
"170",170,"Eutropiichthys vacha","Siluriformes","Schilbeidae","Eutropiichthys",2,"present","",350498,"","Eutropiichthys_vacha",NA,19
"171",171,"Gasteropelecus sternicla","Characiformes","Gasteropelecidae","Gasteropelecus",1,"present","",514221,"","Gasteropelecus_sternicla",NA,17.5
"172",172,"Gastromyzon borneensis","Cypriniformes","Gastromyzontidae","Gastromyzon",1,"present","",3627855,"","Gastromyzon_borneensis",NA,20.5
"173",173,"Geophagus iporangensis","Cichliformes","Cichlidae","Geophagus",1,"present","",3636359,"","Geophagus_iporangensis",NA,37.5
"174",174,"Geophagus steindachneri","Cichliformes","Cichlidae","Geophagus",2,"present","",87568,"","Geophagus_steindachneri",NA,15.5
"175",175,"Geophagus sveni","Cichliformes","Cichlidae","Geophagus",1,"present","",3636351,"","Geophagus_sveni",NA,37.5
"176",176,"Glyptothorax pectinopterus","Siluriformes","Sisoridae","Glyptothorax",1,"present","",3621869,"","Glyptothorax_pectinopterus",NA,28
"177",177,"Gnathopogon caerulescens","Cypriniformes","Cyprinidae","Gnathopogon",1,"present","",325187,"","Gnathopogon_caerulescens",NA,35.5
"178",178,"Gobionotothen gibberifrons","Perciformes","Nototheniidae","Gobionotothen",1,"present","y",448828,"","Gobionotothen_gibberifrons",NA,68
"179",179,"Goeldiella eques","Siluriformes","Heptapteridae","Goeldiella",1,"present","",502078,"","Goeldiella_eques",NA,13
"180",180,"Sigmops gracilis","Stomiiformes","Gonostomatidae","Sigmops",1,"present","",648959,"","Sigmops_gracilis",NA,44.5
"181",181,"Guianacara dacrya","Cichliformes","Cichlidae","Guianacara",1,"present","",3636364,"","Guianacara_dacrya",NA,37.5
"182",182,"Gymnocephalus cernua","Perciformes","Percidae","Gymnocephalus",1,"present","y",104323,"","Gymnocephalus_cernua",NA,52
