"","Species","order","presence","genome.assembly","ott_id","flags","tips"
"239","Eleginops maclovinus","Perciformes/Notothenioidei","present","y",816883,"","Eleginops maclovinus"
"240","Abudefduf abdominalis","Ovalentaria/misc","present","",809329,"incertae_sedis_inherited","Abudefduf abdominalis"
"241","Acanthopagrus schlegelii","Eupercaria/misc","present","",380194,"","Acanthopagrus schlegelii"
"242","Acestrorhynchus falcatus","Characiformes","present","",845253,"","Acestrorhynchus falcatus"
"243","Acipenser baerii","Acipenseriformes","present","",518827,"","Acipenser baerii"
"244","Acipenser fulvescens","Acipenseriformes","present","",698270,"","Acipenser fulvescens"
"245","Acipenser ruthenus","Acipenseriformes","present","y",378930,"","Acipenser ruthenus"
"246","Acnodon normani","Characiformes","present","",179103,"","Acnodon normani"
"247","Aeoliscus strigatus","Syngnathiformes","present","y",652346,"incertae_sedis_inherited","Aeoliscus strigatus"
"248","Agamyxis pectinifrons","Siluriformes","present","",50909,"","Agamyxis pectinifrons"
"249","Akarotaxis nudiceps","Perciformes/Notothenioidei","present","y",682053,"","Akarotaxis nudiceps"
"250","Allenbatrachus grunniens","Batrachoidiformes","present","",706464,"","Allenbatrachus grunniens"
"251","Amia calva","Amiiformes","present","y",329623,"","Amia calva"
"252","Amphiprion clarkii","Ovalentaria/misc","present","y",674637,"incertae_sedis_inherited","Amphiprion clarkii"
"253","Anguilla anguilla","Anguilliformes","present","y",854201,"","Anguilla anguilla"
"254","Anguilla japonica","Anguilliformes","present","y",854198,"","Anguilla japonica"
"255","Anoplopoma fimbria","Perciformes/Cottoidei","present","y",441856,"","Anoplopoma fimbria"
"256","Arctoscopus japonicus","Perciformes/Uranoscopoidei","present","",883978,"","Arctoscopus japonicus"
"257","Asterropteryx semipunctata","Gobiiformes","present","",37552,"","Asterropteryx semipunctata"
"258","Austrolebias affinis","Cyprinodontiformes","present","",1018474,"","Austrolebias affinis"
"259","Barbus petenyi","Cypriniformes","present","",763568,"","Barbus petenyi"
"260","Bathygobius fuscus","Gobiiformes","present","",877729,"","Bathygobius fuscus"
"261","Batrochoglanis raninus","Siluriformes","present","",9881,"","Batrochoglanis raninus"
"262","Brycon orbignyanus","Characiformes","present","",206748,"","Brycon orbignyanus"
"263","Centropyge bispinosa","Acanthuriformes","present","",439843,"","Centropyge bispinosa"
"264","Chaca chaca","Siluriformes","present","",45408,"","Chaca chaca"
"265","Chaetodon vagabundus","Acanthuriformes","present","",655872,"","Chaetodon vagabundus"
"266","Channa sp.",NA,"present","",983868,"not_otu","Channa sp."
"267","Chrysiptera cyanea","Ovalentaria/misc","present","y",43505,"incertae_sedis_inherited","Chrysiptera cyanea"
"268","Cichlasoma dimerus","Cichliformes","present","",607611,"sibling_higher","Cichlasoma dimerus"
"269","Thorichthys meeki","Cichliformes","present","",207017,"","Thorichthys meeki"
"270","Conger myriaster","Anguilliformes","present","",479867,"","Conger myriaster"
"271","Coregonus lavaretus","Salmoniformes","present","y",872355,"","Coregonus lavaretus"
"272","Coryphaena hippurus","Carangiformes","present","",223663,"","Coryphaena hippurus"
"273","Cottus pollux","Perciformes/Cottoidei","present","",1000752,"","Cottus pollux"
"274","Cruciglanis pacifici","Siluriformes","present","",3624195,"","Cruciglanis pacifici"
"275","Ctenopoma acutirostre","Anabantiformes","present","",774818,"","Ctenopoma acutirostre"
"276","Dascyllus aruanus","Ovalentaria/misc","present","",49239,"incertae_sedis_inherited","Dascyllus aruanus"
"277","Decapterus maruadsi","Carangiformes","present","y",766162,"","Decapterus maruadsi"
"278","Dicentrarchus labrax","Eupercaria/misc","present","y",3549,"","Dicentrarchus labrax"
"279","Dictyosoma burgeri","Perciformes/Zoarcoidei","present","",783192,"","Dictyosoma burgeri"
"280","Ditrema temminckii","Ovalentaria/misc","present","",43516,"incertae_sedis_inherited","Ditrema temminckii"
"281","Doederleinia berycoides","Acropomatiformes","present","",1005375,"","Doederleinia berycoides"
"282","Pholis nebulosa","Perciformes/Zoarcoidei","present","",1084060,"","Pholis nebulosa"
"283","Entomacrodus stellifer","Blenniiformes","present","",3639477,"","Entomacrodus stellifer"
"284","Eopsetta grigorjewi","Pleuronectiformes","present","",331920,"","Eopsetta grigorjewi"
"285","Hyporthodus septemfasciatus","Perciformes/Serranoidei","present","",481019,"","Hyporthodus septemfasciatus"
"286","Epinephelus coioides","Perciformes/Serranoidei","present","y",457795,"","Epinephelus coioides"
"287","Favonigobius gymnauchen","Gobiiformes","present","",100808,"","Favonigobius gymnauchen"
"288","Pseudanthias squamipinnis","Perciformes/Serranoidei","present","",26905,"","Pseudanthias squamipinnis"
"289","Gadus macrocephalus","Gadiformes","present","y",56885,"","Gadus macrocephalus"
"290","Gasterosteus aculeatus","Perciformes/Gasterosteoidei","present","y",401066,"","Gasterosteus aculeatus"
"291","Gasterosteus aculeatus aculeatus",NA,"present","y",111122,"infraspecific","Gasterosteus aculeatus aculeatus"
"292","Geophagus steindachneri","Cichliformes","present","",87568,"","Geophagus steindachneri"
"293","Girella punctata","Centrarchiformes","present","",188324,"","Girella punctata"
"294","Glossanodon semifasciatus","Argentiniformes","present","",562634,"","Glossanodon semifasciatus"
"295","Gnathonemus petersii","Osteoglossiformes","present","",115478,"","Gnathonemus petersii"
"296","Gymnocorymbus ternetzi","Characiformes","present","",783051,"","Gymnocorymbus ternetzi"
"297","Gymnodraco acuticeps","Perciformes/Notothenioidei","present","y",781785,"","Gymnodraco acuticeps"
"298","Gymnotus pantherinus","Gymnotiformes","present","",445404,"","Gymnotus pantherinus"
"299","Parajulis poecilepterus","Eupercaria/misc","present","",127504,"","Parajulis poecilepterus"
"300","Halichoeres tenuispinis","Eupercaria/misc","present","",1095891,"","Halichoeres tenuispinis"
"301","Batrachomoeus trispinosus","Batrachoidiformes","present","",713029,"","Batrachomoeus trispinosus"
"302","Hemiodus semitaeniatus","Characiformes","present","",3624386,"","Hemiodus semitaeniatus"
"303","Hemiodus sterni","Characiformes","present","",3624388,"","Hemiodus sterni"
"304","Hepsetus odoe","Characiformes","present","y",128234,"","Hepsetus odoe"
"305","Hexagrammos agrammus","Perciformes/Cottoidei","present","",185865,"","Hexagrammos agrammus"
"306","Hippocampus guttulatus","Syngnathiformes","present","y",630164,"","Hippocampus guttulatus"
"307","Hypodytes rubripinnis",NA,"present","y",463550,"","Hypodytes rubripinnis"
"308","Hypomesus nipponensis","Osmeriformes","present","y",37114,"","Hypomesus nipponensis"
"309","Lagocephalus wheeleri","Tetraodontiformes","present","",986276,"","Lagocephalus wheeleri"
"310","Lateolabrax japonicus","Acropomatiformes","present","",186480,"","Lateolabrax japonicus"
"311","Pseudomystus siamensis","Siluriformes","present","",566357,"","Pseudomystus siamensis"
"312","Nuchequula nuchalis","Acanthuriformes","present","",89840,"","Nuchequula nuchalis"
"313","Lepidotrigla microptera","Perciformes/Scorpaenoidei","present","",438423,"","Lepidotrigla microptera"
"314","Lepomis macrochirus","Centrarchiformes","present","y",836783,"","Lepomis macrochirus"
"315","Leporinus fasciatus","Characiformes","present","",546980,"","Leporinus fasciatus"
"316","Rutilus rutilus","Cypriniformes","present","",421037,"","Rutilus rutilus"
"317","Pseudopleuronectes yokohamae","Pleuronectiformes","present","",608831,"","Pseudopleuronectes yokohamae"
"318","Planiliza haematocheilus","Mugiliformes","present","",963124,"","Planiliza haematocheilus"
"319","Inimicus japonicus","Perciformes/Scorpaenoidei","present","",301023,"","Inimicus japonicus"
"320","Lophiosilurus alexandri","Siluriformes","present","",498407,"","Lophiosilurus alexandri"
"321","Lophius litulon","Lophiiformes","present","",607757,"","Lophius litulon"
"322","Sander lucioperca","Perciformes/Percoidei","present","y",557682,"","Sander lucioperca"
"323","Microcanthus strigatus","Centrarchiformes","present","",188292,"","Microcanthus strigatus"
"324","Microglanis cottoides","Siluriformes","present","",3624176,"","Microglanis cottoides"
"325","Micropterus salmoides","Centrarchiformes","present","y",230493,"","Micropterus salmoides"
"326","Monodactylus argenteus","Eupercaria/misc","present","",763919,"","Monodactylus argenteus"
"327","Mormyrus kannume","Osteoglossiformes","present","",3643916,"","Mormyrus kannume"
"328","Mugil cephalus","Mugiliformes","present","y",418648,"","Mugil cephalus"
"329","Chitala chitala","Osteoglossiformes","present","",863123,"","Chitala chitala"
"330","Notopterus notopterus","Osteoglossiformes","present","",904617,"","Notopterus notopterus"
"331","Oncorhynchus masou","Salmoniformes","present","",982404,"","Oncorhynchus masou"
"332","Oncorhynchus mykiss (species in domain Eukaryota)",NA,"present","y",165368,"","Oncorhynchus mykiss (species in domain Eukaryota)"
"333","Oncorhynchus masou masou",NA,"present","y",207835,"infraspecific","Oncorhynchus masou masou"
"334","Ophisurus macrorhynchos","Anguilliformes","present","",65747,"","Ophisurus macrorhynchos"
"335","Oplegnathus fasciatus","Centrarchiformes","present","y",711801,"","Oplegnathus fasciatus"
"336","Osphronemus goramy","Anabantiformes","present","",612525,"","Osphronemus goramy"
"337","Oxycirrhites typus","Centrarchiformes","present","",702709,"","Oxycirrhites typus"
"338","Pagothenia borchgrevinki","Perciformes/Notothenioidei","present","y",781792,"","Pagothenia borchgrevinki"
"339","Pagrus major","Eupercaria/misc","present","y",765344,"","Pagrus major"
"340","Pangasius polyuranodon","Siluriformes","present","",199220,"","Pangasius polyuranodon"
"341","Papyrocranus afer","Osteoglossiformes","present","",239121,"","Papyrocranus afer"
"342","Paralichthys olivaceus","Pleuronectiformes","present","y",883392,"","Paralichthys olivaceus"
"343","Parapercis sexfasciata","Perciformes/Uranoscopoidei","present","",132534,"","Parapercis sexfasciata"
"344","Paraplagusia japonica","Pleuronectiformes","present","",126710,"","Paraplagusia japonica"
"345","Parapristipoma trilineatum","Eupercaria/misc","present","",64274,"","Parapristipoma trilineatum"
"346","Parupeneus barberinoides","Mulliformes","present","",758968,"","Parupeneus barberinoides"
"347","Parablennius yatabei","Blenniiformes","present","",155048,"","Parablennius yatabei"
"348","Ophichthus zophistius",NA,"present","",483995,"","Ophichthus zophistius"
"349","Platycephalus indicus","Perciformes/Scorpaenoidei","present","",599906,"","Platycephalus indicus"
"350","Plecoglossus altivelis","Osmeriformes","present","y",486933,"","Plecoglossus altivelis"
"351","Pleuragramma antarctica",NA,"present","",303042,"","Pleuragramma antarctica"
"352","Pleuronichthys cornutus","Pleuronectiformes","present","",891078,"","Pleuronichthys cornutus"
"353","Pogonophryne scotti","Perciformes/Notothenioidei","present","",659897,"","Pogonophryne scotti"
"354","Polypterus bichir","Polypteriformes","present","",735234,"","Polypterus bichir"
"355","Porichthys notatus","Batrachoidiformes","present","",720409,"","Porichthys notatus"
"356","Pterophyllum scalare","Cichliformes","present","",220929,"","Pterophyllum scalare"
"357","Psenopsis anomala","Scombriformes","present","",137653,"","Psenopsis anomala"
"358","Pseudoblennius percoides","Perciformes/Cottoidei","present","",3632196,"","Pseudoblennius percoides"
"359","Pseudolabrus japonicus","Eupercaria/misc","present","",823202,"","Pseudolabrus japonicus"
"360","Pseudopimelodus bufonius","Siluriformes","present","",61474,"","Pseudopimelodus bufonius"
"361","Pseudopimelodus mangurus","Siluriformes","present","",61478,"","Pseudopimelodus mangurus"
"362","Pterogobius elapoides","Gobiiformes","present","",173379,"","Pterogobius elapoides"
"363","Pterogobius virgo","Gobiiformes","present","",173385,"","Pterogobius virgo"
"364","Pteragogus flagellifer","Eupercaria/misc","present","",351871,"","Pteragogus flagellifer"
"365","Pygocentrus nattereri","Characiformes","present","y",649803,"","Pygocentrus nattereri"
"366","Pyrrhulina australis","Characiformes","present","",435753,"","Pyrrhulina australis"
"367","Rastrelliger brachysoma","Scombriformes","present","",916275,"","Rastrelliger brachysoma"
"368","Repomucenus richardsonii",NA,"present","",473931,"","Repomucenus richardsonii"
"369","Oncorhynchus mykiss gairdneri",NA,"present","",57412,"infraspecific","Oncorhynchus mykiss gairdneri"
"370","Oncorhynchus mykiss irideus",NA,"present","",578312,"infraspecific","Oncorhynchus mykiss irideus"
"371","Salmo salar","Salmoniformes","present","y",688328,"","Salmo salar"
"372","Salvelinus leucomaenis","Salmoniformes","present","",688317,"","Salvelinus leucomaenis"
"373","Sargocentron sp.",NA,"present","",983871,"not_otu, incertae_sedis","Sargocentron sp."
"374","Saurida undosquamis","Aulopiformes","present","",802170,"","Saurida undosquamis"
"375","Scatophagus argus","Acanthuriformes","present","",773212,"","Scatophagus argus"
"376","Scomber japonicus","Scombriformes","present","y",70556,"","Scomber japonicus"
"377","Sebastes inermis","Perciformes/Scorpaenoidei","present","",767460,"sibling_higher","Sebastes inermis"
"378","Sebastes schlegelii","Perciformes/Scorpaenoidei","present","",206127,"sibling_higher","Sebastes schlegelii"
"379","Sebastes hubbsi","Perciformes/Scorpaenoidei","present","y",778320,"sibling_higher","Sebastes hubbsi"
"380","Sebastiscus marmoratus","Perciformes/Scorpaenoidei","present","",986386,"","Sebastiscus marmoratus"
"381","Seriola quinqueradiata","Carangiformes","present","y",186469,"","Seriola quinqueradiata"
"382","Serrasalmus maculatus","Characiformes","present","",900276,"","Serrasalmus maculatus"
"383","Siganus fuscescens","Acanthuriformes","present","y",927037,"","Siganus fuscescens"
"384","Sillago japonica","Eupercaria/misc","present","",56114,"","Sillago japonica"
"385","Solea senegalensis","Pleuronectiformes","present","y",366998,"","Solea senegalensis"
"386","Sphaeramia nematoptera","Kurtiformes","present","",799234,"","Sphaeramia nematoptera"
"387","Sphyraena pinguis","Carangaria/misc","present","",691678,"incertae_sedis_inherited","Sphyraena pinguis"
"388","Steindachneridion parahybae","Siluriformes","present","",297574,"","Steindachneridion parahybae"
"389","Stephanolepis cirrhifer","Tetraodontiformes","present","",191033,"","Stephanolepis cirrhifer"
"390","Symphysodon aequifasciata",NA,"present","",220923,"","Symphysodon aequifasciata"
"391","Syngnathus schlegeli","Syngnathiformes","present","",259361,"","Syngnathus schlegeli"
"392","Takifugu alboplumbeus","Tetraodontiformes","present","",465414,"","Takifugu alboplumbeus"
"393","Takifugu pardalis","Tetraodontiformes","present","",407058,"","Takifugu pardalis"
"394","Takifugu xanthopterus","Tetraodontiformes","present","",139541,"","Takifugu xanthopterus"
"395","Tetraodon fluviatilis",NA,"present","",120277,"","Tetraodon fluviatilis"
"396","Thamnaconus modestus","Tetraodontiformes","present","",793159,"","Thamnaconus modestus"
"397","Toxotes jaculatrix","Carangaria/misc","present","",712588,"incertae_sedis_inherited","Toxotes jaculatrix"
"398","Trachurus japonicus","Carangiformes","present","y",43502,"","Trachurus japonicus"
"399","Trichiurus lepturus","Scombriformes","present","",143398,"extinct","Trichiurus lepturus"
"400","Trichopodus leerii","Anabantiformes","present","",785740,"","Trichopodus leerii"
"401","Trogloglanis pattersoni","Siluriformes","present","y",3624008,"","Trogloglanis pattersoni"
"402","Utiaritichthys sennaebragai","Characiformes","present","",3625952,"","Utiaritichthys sennaebragai"
"403","Xenomystus nigri","Osteoglossiformes","present","",863129,"","Xenomystus nigri"
"404","Zanclus cornutus","Acanthuriformes","present","y",199070,"","Zanclus cornutus"
"405","Zebrasoma velifer","Acanthuriformes","present","",3638940,"","Zebrasoma velifer"
"406","Zeus faber","Zeiformes","present","y",918920,"","Zeus faber"
"407","Cichlasoma paranaense","Cichliformes","present","",167686,"sibling_higher","Cichlasoma paranaense"
"408","Acaronia nassa","Cichliformes","present","",170137,"","Acaronia nassa"
"409","Bujurquina vittata","Cichliformes","present","y",498815,"","Bujurquina vittata"
"410","Chaetobranchus flavescens","Cichliformes","present","",744497,"","Chaetobranchus flavescens"
"411","Parachromis managuensis","Cichliformes","present","y",797202,"","Parachromis managuensis"
"412","Cichla kelberi","Cichliformes","present","",187228,"","Cichla kelberi"
"413","Chelon labrosus","Mugiliformes","present","y",777079,"","Chelon labrosus"
"414","Toxotes chatareus","Carangaria/misc","present","y",367548,"incertae_sedis_inherited","Toxotes chatareus"
"415","Astyanax mexicanus","Characiformes","present","y",701518,"","Astyanax mexicanus"
"416","Chionodraco hamatus","Perciformes/Notothenioidei","present","y",185365,"","Chionodraco hamatus"
"417","Akarotaxis nudiceps","Perciformes/Notothenioidei","present","y",682053,"","Akarotaxis nudiceps"
"418","Dolloidraco longedorsalis","Perciformes/Notothenioidei","present","y",268810,"","Dolloidraco longedorsalis"
"419","Trematomus loennbergii","Perciformes/Notothenioidei","present","y",985377,"","Trematomus loennbergii"
"420","Trematomus bernacchii","Perciformes/Notothenioidei","present","y",985361,"","Trematomus bernacchii"
"421","Acipenser baerii","Acipenseriformes","present","",518827,"","Acipenser baerii"
"422","Agoniates halecinus","Characiformes","present","",673669,"","Agoniates halecinus"
"423","Astyanax altiparanae","Characiformes","present","",466082,"","Astyanax altiparanae"
"424","Cephalosilurus fowleri","Siluriformes","present","",3624192,"","Cephalosilurus fowleri"
"425","Chalceus erythrurus","Characiformes","present","",990648,"","Chalceus erythrurus"
"426","Cynodon gibbus","Characiformes","present","",545269,"","Cynodon gibbus"
"427","Diplodus sargus","Eupercaria/misc","present","y",239665,"","Diplodus sargus"
"428","Dissostichus mawsoni","Perciformes/Notothenioidei","present","y",504786,"","Dissostichus mawsoni"
"429","Epinephelus coioides","Perciformes/Serranoidei","present","y",457795,"","Epinephelus coioides"
"430","Gymnodraco acuticeps","Perciformes/Notothenioidei","present","y",781785,"","Gymnodraco acuticeps"
"431","Hoplerythrinus unitaeniatus","Characiformes","present","",719840,"","Hoplerythrinus unitaeniatus"
"432","Larimichthys crocea","Eupercaria/misc","present","y",679823,"","Larimichthys crocea"
"433","Lepisosteus osseus","Lepisosteiformes","present","y",519445,"","Lepisosteus osseus"
"434","Mugil cephalus","Mugiliformes","present","y",418648,"","Mugil cephalus"
"435","Myloplus rubripinnis","Characiformes","present","",753357,"","Myloplus rubripinnis"
"436","Chitala chitala","Osteoglossiformes","present","",863123,"","Chitala chitala"
"437","Notothenia coriiceps","Perciformes/Notothenioidei","present","y",258643,"","Notothenia coriiceps"
"438","Oncorhynchus mykiss (species in domain Eukaryota)",NA,"present","y",165368,"","Oncorhynchus mykiss (species in domain Eukaryota)"
"439","Paraliparis devriesi","Perciformes/Cottoidei","present","",3631818,"","Paraliparis devriesi"
"440","Pimelodus maculatus","Siluriformes","present","y",386663,"","Pimelodus maculatus"
"441","Porichthys notatus","Batrachoidiformes","present","",720409,"","Porichthys notatus"
"442","Rhoadsia altipinna","Characiformes","present","",3625978,"","Rhoadsia altipinna"
"443","Salminus hilarii","Characiformes","present","",180301,"","Salminus hilarii"
"444","Satan eurystomus","Siluriformes","present","",3624005,"","Satan eurystomus"
"445","Schizodon nasutus","Characiformes","present","",469757,"","Schizodon nasutus"
"446","Scorpaena porcus","Perciformes/Scorpaenoidei","present","",223715,"","Scorpaena porcus"
"447","Scyliorhinus canicula","Carcharhiniformes","present","",1026500,"","Scyliorhinus canicula"
"448","Tetragonopterus argenteus","Characiformes","present","",282555,"","Tetragonopterus argenteus"
"449","Trematomus lepidorhinus","Perciformes/Notothenioidei","present","",985371,"","Trematomus lepidorhinus"
"450","Salminus brasiliensis","Characiformes","present","y",419009,"","Salminus brasiliensis"
"451","Scophthalmus maximus","Pleuronectiformes","present","y",778695,"","Scophthalmus maximus"
"452","Acipenser baerii","Acipenseriformes","present","",518827,"","Acipenser baerii"
"453","Acipenser transmontanus","Acipenseriformes","present","y",378925,"","Acipenser transmontanus"
"454","Anguilla anguilla","Anguilliformes","present","y",854201,"","Anguilla anguilla"
"455","Apareiodon affinis","Characiformes","present","",533482,"","Apareiodon affinis"
"456","Cottoperca gobio","Perciformes/Notothenioidei","present","y",867530,"","Cottoperca gobio"
"457","Dasyatis akajei",NA,"present","",225332,"sibling_higher","Dasyatis akajei"
"458","Epinephelus adscensionis","Perciformes/Serranoidei","present","",534151,"","Epinephelus adscensionis"
"459","Sander lucioperca","Perciformes/Percoidei","present","",557682,"","Sander lucioperca"
"460","Pseudopleuronectes americanus","Pleuronectiformes","present","y",261419,"","Pseudopleuronectes americanus"
"461","Oncorhynchus mykiss irideus",NA,"present","",578312,"infraspecific","Oncorhynchus mykiss irideus"
"462","Serrasalmus maculatus","Characiformes","present","",900276,"","Serrasalmus maculatus"
"463","Silurus asotus","Siluriformes","present","",967323,"","Silurus asotus"
"464","Sphoeroides rubripes",NA,"present","",3631199,"","Sphoeroides rubripes"
"465","Acarichthys heckelii","Cichliformes","present","",16170,"","Acarichthys heckelii"
"466","Aequidens plagiozonatus","Cichliformes","present","",3636223,"","Aequidens plagiozonatus"
"467","Chelon labrosus","Mugiliformes","present","y",777079,"","Chelon labrosus"
"468","Scyliorhinus canicula","Carcharhiniformes","present","",1026500,"","Scyliorhinus canicula"
